index,Region,Country,Year,Age,Gender,Literacy rate
0,Central and Southern Asia,Afghanistan,2011,15+,female,0.1761205999999999
1,Central and Southern Asia,Afghanistan,2011,15+,male,0.4541709999999999
2,Central and Southern Asia,Afghanistan,2011,15+,total,0.3174112
3,Central and Southern Asia,Afghanistan,2011,15-24,female,0.3211321999999999
4,Central and Southern Asia,Afghanistan,2011,15-24,male,0.6187907
5,Central and Southern Asia,Afghanistan,2011,15-24,total,0.4699004999999999
6,Central and Southern Asia,Afghanistan,2011,25-64,female,0.0841276
7,Central and Southern Asia,Afghanistan,2011,25-64,male,0.3779481
8,Central and Southern Asia,Afghanistan,2011,25-64,total,0.2315362
9,Central and Southern Asia,Afghanistan,2011,65+,female,0.1967049
10,Central and Southern Asia,Afghanistan,2011,65+,total,0.2032185
11,Central and Southern Asia,Afghanistan,2018,15+,female,0.2980520999999999
12,Central and Southern Asia,Afghanistan,2018,15+,male,0.5547545
13,Central and Southern Asia,Afghanistan,2018,15+,total,0.4301972
14,Central and Southern Asia,Afghanistan,2018,15-24,female,0.5625474999999999
15,Central and Southern Asia,Afghanistan,2018,15-24,male,0.740848
16,Central and Southern Asia,Afghanistan,2018,15-24,total,0.6542055000000001
17,Central and Southern Asia,Afghanistan,2018,25-64,female,0.1433138999999999
18,Central and Southern Asia,Afghanistan,2018,25-64,male,0.4538401999999999
19,Central and Southern Asia,Afghanistan,2018,25-64,total,0.3045785
20,Central and Southern Asia,Afghanistan,2018,65+,female,0.0347429
21,Central and Southern Asia,Afghanistan,2018,65+,male,0.2474501
22,Central and Southern Asia,Afghanistan,2018,65+,total,0.1333184
23,Central and Southern Asia,Bangladesh,2011,15+,female,0.5511943999999999
24,Central and Southern Asia,Bangladesh,2011,15+,male,0.6248306
25,Central and Southern Asia,Bangladesh,2011,15+,total,0.5876917999999999
26,Central and Southern Asia,Bangladesh,2011,15-24,female,0.7954449
27,Central and Southern Asia,Bangladesh,2011,15-24,male,0.7640340000000001
28,Central and Southern Asia,Bangladesh,2011,15-24,total,0.7798498999999999
29,Central and Southern Asia,Bangladesh,2011,25-64,female,0.4806526999999999
30,Central and Southern Asia,Bangladesh,2011,25-64,male,0.5854189
31,Central and Southern Asia,Bangladesh,2011,25-64,total,0.5323881999999999
32,Central and Southern Asia,Bangladesh,2011,65+,female,0.1843055
33,Central and Southern Asia,Bangladesh,2011,65+,male,0.4150517
34,Central and Southern Asia,Bangladesh,2011,65+,total,0.3019119
35,Central and Southern Asia,Bangladesh,2012,15+,female,0.5423604
36,Central and Southern Asia,Bangladesh,2012,15+,male,0.6154287
37,Central and Southern Asia,Bangladesh,2012,15+,total,0.5786075
38,Central and Southern Asia,Bangladesh,2012,15-24,female,0.793692
39,Central and Southern Asia,Bangladesh,2012,15-24,male,0.7627630999999999
40,Central and Southern Asia,Bangladesh,2012,15-24,total,0.7783291
41,Central and Southern Asia,Bangladesh,2012,25-64,female,0.4722050999999999
42,Central and Southern Asia,Bangladesh,2012,25-64,male,0.5741007999999999
43,Central and Southern Asia,Bangladesh,2012,25-64,total,0.5225135
44,Central and Southern Asia,Bangladesh,2012,65+,female,0.1408031
45,Central and Southern Asia,Bangladesh,2012,65+,male,0.3947337999999999
46,Central and Southern Asia,Bangladesh,2012,65+,total,0.2718105
47,Central and Southern Asia,Bangladesh,2013,15+,female,0.57789
48,Central and Southern Asia,Bangladesh,2013,15+,male,0.6421376999999999
49,Central and Southern Asia,Bangladesh,2013,15+,total,0.6101554
50,Central and Southern Asia,Bangladesh,2013,15-24,female,0.8692579
51,Central and Southern Asia,Bangladesh,2013,15-24,male,0.8409449999999999
52,Central and Southern Asia,Bangladesh,2013,15-24,total,0.8552715
53,Central and Southern Asia,Bangladesh,2013,25-64,female,0.4892493
54,Central and Southern Asia,Bangladesh,2013,25-64,male,0.5856812
55,Central and Southern Asia,Bangladesh,2013,25-64,total,0.5373964999999999
56,Central and Southern Asia,Bangladesh,2013,65+,female,0.1530413999999999
57,Central and Southern Asia,Bangladesh,2013,65+,male,0.4008797
58,Central and Southern Asia,Bangladesh,2013,65+,total,0.2932688
59,Central and Southern Asia,Bangladesh,2014,15+,female,0.5786092999999999
60,Central and Southern Asia,Bangladesh,2014,15+,male,0.6436508999999999
61,Central and Southern Asia,Bangladesh,2014,15+,total,0.610933
62,Central and Southern Asia,Bangladesh,2014,15-24,female,0.8648067
